Name;Code;E;N;Z
STA 5+50;A;476178.1497;9699508.066;6.093
STA 5+50;A1;476178.0012;9699507.32;6.123
STA 5+50;A2;476178.2366;9699506.316;6.438
STA 5+50;A3;476178.1147;9699505.476;6.433
STA 5+50;A4;476178.0258;9699504.644;6.363
STA 5+50;T1;476178.3239;9699503.962;6.149
STA 5+50;D1;476178.662;9699503.349;5.179
STA 5+50;D2;476179.1716;9699502.093;4.975
STA 5+50;D3;476179.6808;9699500.895;5.209
STA 5+50;T2;476180.0189;9699500.281;6.029
STA 5+50;B1;476180.1833;9699499.416;6.101
STA 5+50;B2;476180.1305;9699498.705;6.06
STA 5+50;B3;476180.3253;9699497.773;6.053
STA 5+50;B4;476180.2257;9699496.772;6.048
STA 5+50;B;476180.0565;9699495.843;6.057
