Name;Code;E;N;Z
STA 6+50;A;476277.9278;9699514.726;6.078
STA 6+50;A1;476277.7792;9699513.979;6.107
STA 6+50;A2;476278.0146;9699512.975;6.42
STA 6+50;A3;476277.8928;9699512.135;6.418
STA 6+50;A4;476277.8039;9699511.304;6.364
STA 6+50;T1;476278.1019;9699510.622;6.171
STA 6+50;D1;476278.44;9699510.008;5.164
STA 6+50;D2;476278.9496;9699508.752;4.979
STA 6+50;D3;476279.4588;9699507.555;5.191
STA 6+50;T2;476279.7969;9699506.94;6.018
STA 6+50;B1;476279.9613;9699506.075;6.109
STA 6+50;B2;476279.9085;9699505.364;6.067
STA 6+50;B3;476280.1034;9699504.432;6.045
STA 6+50;B4;476280.0037;9699503.432;6.043
STA 6+50;B;476279.8345;9699502.502;6.045
