Name;Code;E;N;Z
STA 2+50;A;475878.8157;9699488.088;6.137
STA 2+50;A1;475878.6671;9699487.342;6.173
STA 2+50;A2;475878.9025;9699486.338;6.493
STA 2+50;A3;475878.7807;9699485.498;6.478
STA 2+50;A4;475878.6918;9699484.666;6.359
STA 2+50;T1;475878.9898;9699483.985;6.086
STA 2+50;D1;475879.3279;9699483.371;5.224
STA 2+50;D2;475879.8375;9699482.115;4.965
STA 2+50;D3;475880.3467;9699480.918;5.261
STA 2+50;T2;475880.6849;9699480.303;6.062
STA 2+50;B1;475880.8492;9699479.438;6.076
STA 2+50;B2;475880.7964;9699478.727;6.038
STA 2+50;B3;475880.9913;9699477.795;6.076
STA 2+50;B4;475880.8916;9699476.794;6.064
STA 2+50;B;475880.7224;9699475.865;6.093
