Name;Code;E;N;Z
STA 8+50;A;476477.4838;9699528.044;6.049
STA 8+50;A1;476477.3353;9699527.298;6.074
STA 8+50;A2;476477.5707;9699526.294;6.383
STA 8+50;A3;476477.4488;9699525.454;6.388
STA 8+50;A4;476477.3599;9699524.622;6.367
STA 8+50;T1;476477.6579;9699523.94;6.213
STA 8+50;D1;476477.996;9699523.327;5.134
STA 8+50;D2;476478.5057;9699522.07;4.985
STA 8+50;D3;476479.0149;9699520.873;5.157
STA 8+50;T2;476479.353;9699520.259;5.996
STA 8+50;B1;476479.5173;9699519.394;6.126
STA 8+50;B2;476479.4646;9699518.682;6.082
STA 8+50;B3;476479.6594;9699517.751;6.03
STA 8+50;B4;476479.5597;9699516.75;6.033
STA 8+50;B;476479.3906;9699515.821;6.021
