Name;Code;E;N;Z
STA 4+00;A;476028.4827;9699498.077;6.115
STA 4+00;A1;476028.3342;9699497.331;6.148
STA 4+00;A2;476028.5695;9699496.327;6.466
STA 4+00;A3;476028.4477;9699495.487;6.455
STA 4+00;A4;476028.3588;9699494.655;6.361
STA 4+00;T1;476028.6568;9699493.974;6.118
STA 4+00;D1;476028.9949;9699493.36;5.202
STA 4+00;D2;476029.5046;9699492.104;4.97
STA 4+00;D3;476030.0138;9699490.906;5.235
STA 4+00;T2;476030.3519;9699490.292;6.045
STA 4+00;B1;476030.5162;9699489.427;6.089
STA 4+00;B2;476030.4635;9699488.716;6.049
STA 4+00;B3;476030.6583;9699487.784;6.064
STA 4+00;B4;476030.5586;9699486.783;6.056
STA 4+00;B;476030.3895;9699485.854;6.075
