Name;Code;E;N;Z
STA 3+50;A;475978.5937;9699494.748;6.122
STA 3+50;A1;475978.4452;9699494.002;6.156
STA 3+50;A2;475978.6805;9699492.997;6.475
STA 3+50;A3;475978.5587;9699492.157;6.463
STA 3+50;A4;475978.4698;9699491.326;6.36
STA 3+50;T1;475978.7678;9699490.644;6.107
STA 3+50;D1;475979.1059;9699490.03;5.209
STA 3+50;D2;475979.6156;9699488.774;4.969
STA 3+50;D3;475980.1248;9699487.577;5.243
STA 3+50;T2;475980.4629;9699486.962;6.051
STA 3+50;B1;475980.6272;9699486.097;6.085
STA 3+50;B2;475980.5744;9699485.386;6.045
STA 3+50;B3;475980.7693;9699484.454;6.068
STA 3+50;B4;475980.6696;9699483.454;6.059
STA 3+50;B;475980.5004;9699482.524;6.081
