Name;Code;E;N;Z
STA 7+50;A;476377.7058;9699521.385;6.064
STA 7+50;A1;476377.5573;9699520.639;6.09
STA 7+50;A2;476377.7926;9699519.634;6.401
STA 7+50;A3;476377.6708;9699518.795;6.403
STA 7+50;A4;476377.5819;9699517.963;6.366
STA 7+50;T1;476377.8799;9699517.281;6.192
STA 7+50;D1;476378.218;9699516.668;5.149
STA 7+50;D2;476378.7276;9699515.411;4.982
STA 7+50;D3;476379.2368;9699514.214;5.174
STA 7+50;T2;476379.575;9699513.599;6.007
STA 7+50;B1;476379.7393;9699512.735;6.117
STA 7+50;B2;476379.6865;9699512.023;6.074
STA 7+50;B3;476379.8814;9699511.092;6.037
STA 7+50;B4;476379.7817;9699510.091;6.038
STA 7+50;B;476379.6125;9699509.162;6.033
