Name;Code;E;N;Z
STA 9+43;A;476570.0883;9699534.225;6.034
STA 9+43;A1;476569.9398;9699533.479;6.057
STA 9+43;A2;476570.1752;9699532.474;6.365
STA 9+43;A3;476570.0533;9699531.634;6.373
STA 9+43;A4;476569.9644;9699530.803;6.369
STA 9+43;T1;476570.2625;9699530.121;6.234
STA 9+43;D1;476570.6006;9699529.507;5.119
STA 9+43;D2;476571.1102;9699528.251;4.989
STA 9+43;D3;476571.6194;9699527.054;5.139
STA 9+43;T2;476571.9575;9699526.439;5.985
STA 9+43;B1;476572.1219;9699525.574;6.134
STA 9+43;B2;476572.0691;9699524.863;6.089
STA 9+43;B3;476572.2639;9699523.931;6.022
STA 9+43;B4;476572.1643;9699522.931;6.028
STA 9+43;B;476571.9951;9699522.001;6.009
