Name;Code;E;N;Z
STA 2+00;A;475828.9266;9699484.759;6.145
STA 2+00;A1;475828.7781;9699484.013;6.181
STA 2+00;A2;475829.0135;9699483.008;6.502
STA 2+00;A3;475828.8917;9699482.169;6.485
STA 2+00;A4;475828.8028;9699481.337;6.358
STA 2+00;T1;475829.1008;9699480.655;6.075
STA 2+00;D1;475829.4389;9699480.041;5.232
STA 2+00;D2;475829.9485;9699478.785;4.964
STA 2+00;D3;475830.4577;9699477.588;5.269
STA 2+00;T2;475830.7958;9699476.973;6.067
STA 2+00;B1;475830.9602;9699476.109;6.072
STA 2+00;B2;475830.9074;9699475.397;6.035
STA 2+00;B3;475831.1023;9699474.466;6.08
STA 2+00;B4;475831.0026;9699473.465;6.067
STA 2+00;B;475830.8334;9699472.536;6.099
