Name;Code;E;N;Z
STA 4+50;A;476078.3717;9699501.407;6.108
STA 4+50;A1;476078.2232;9699500.661;6.14
STA 4+50;A2;476078.4586;9699499.657;6.456
STA 4+50;A3;476078.3367;9699498.817;6.448
STA 4+50;A4;476078.2478;9699497.985;6.362
STA 4+50;T1;476078.5458;9699497.303;6.128
STA 4+50;D1;476078.8839;9699496.69;5.194
STA 4+50;D2;476079.3936;9699495.433;4.972
STA 4+50;D3;476079.9028;9699494.236;5.226
STA 4+50;T2;476080.2409;9699493.622;6.04
STA 4+50;B1;476080.4052;9699492.757;6.093
STA 4+50;B2;476080.3525;9699492.045;6.053
STA 4+50;B3;476080.5473;9699491.114;6.06
STA 4+50;B4;476080.4477;9699490.113;6.054
STA 4+50;B;476080.2785;9699489.184;6.069
