Name;Code;E;N;Z
STA 6+00;A;476228.0387;9699511.396;6.086
STA 6+00;A1;476227.8902;9699510.65;6.115
STA 6+00;A2;476228.1256;9699509.646;6.429
STA 6+00;A3;476228.0038;9699508.806;6.425
STA 6+00;A4;476227.9149;9699507.974;6.364
STA 6+00;T1;476228.2129;9699507.292;6.16
STA 6+00;D1;476228.551;9699506.679;5.172
STA 6+00;D2;476229.0606;9699505.422;4.977
STA 6+00;D3;476229.5698;9699504.225;5.2
STA 6+00;T2;476229.9079;9699503.61;6.023
STA 6+00;B1;476230.0723;9699502.746;6.105
STA 6+00;B2;476230.0195;9699502.034;6.064
STA 6+00;B3;476230.2143;9699501.103;6.049
STA 6+00;B4;476230.1147;9699500.102;6.046
STA 6+00;B;476229.9455;9699499.173;6.051
