Name;Code;E;N;Z
STA 9+00;A;476527.3728;9699531.374;6.041
STA 9+00;A1;476527.2243;9699530.628;6.066
STA 9+00;A2;476527.4597;9699529.623;6.374
STA 9+00;A3;476527.3378;9699528.783;6.381
STA 9+00;A4;476527.2489;9699527.952;6.368
STA 9+00;T1;476527.5469;9699527.27;6.223
STA 9+00;D1;476527.8851;9699526.656;5.127
STA 9+00;D2;476528.3947;9699525.4;4.987
STA 9+00;D3;476528.9039;9699524.203;5.148
STA 9+00;T2;476529.242;9699523.588;5.99
STA 9+00;B1;476529.4064;9699522.723;6.13
STA 9+00;B2;476529.3536;9699522.012;6.085
STA 9+00;B3;476529.5484;9699521.08;6.026
STA 9+00;B4;476529.4488;9699520.08;6.03
STA 9+00;B;476529.2796;9699519.15;6.015
