Name;Code;E;N;Z
STA 5+00;A;476128.2607;9699504.737;6.1
STA 5+00;A1;476128.1122;9699503.991;6.132
STA 5+00;A2;476128.3476;9699502.986;6.447
STA 5+00;A3;476128.2257;9699502.146;6.44
STA 5+00;A4;476128.1368;9699501.315;6.362
STA 5+00;T1;476128.4348;9699500.633;6.139
STA 5+00;D1;476128.773;9699500.019;5.187
STA 5+00;D2;476129.2826;9699498.763;4.974
STA 5+00;D3;476129.7918;9699497.566;5.217
STA 5+00;T2;476130.1299;9699496.951;6.034
STA 5+00;B1;476130.2943;9699496.086;6.097
STA 5+00;B2;476130.2415;9699495.375;6.056
STA 5+00;B3;476130.4363;9699494.443;6.057
STA 5+00;B4;476130.3367;9699493.443;6.051
STA 5+00;B;476130.1675;9699492.513;6.063
