Name;Code;E;N;Z
STA 7+00;A;476327.8168;9699518.055;6.071
STA 7+00;A1;476327.6682;9699517.309;6.099
STA 7+00;A2;476327.9036;9699516.305;6.41
STA 7+00;A3;476327.7818;9699515.465;6.41
STA 7+00;A4;476327.6929;9699514.633;6.365
STA 7+00;T1;476327.9909;9699513.951;6.181
STA 7+00;D1;476328.329;9699513.338;5.157
STA 7+00;D2;476328.8386;9699512.082;4.98
STA 7+00;D3;476329.3478;9699510.884;5.183
STA 7+00;T2;476329.686;9699510.27;6.012
STA 7+00;B1;476329.8503;9699509.405;6.113
STA 7+00;B2;476329.7975;9699508.694;6.071
STA 7+00;B3;476329.9924;9699507.762;6.041
STA 7+00;B4;476329.8927;9699506.761;6.041
STA 7+00;B;476329.7235;9699505.832;6.039
