Name;Code;E;N;Z
STA 8+00;A;476427.5948;9699524.715;6.056
STA 8+00;A1;476427.4463;9699523.968;6.082
STA 8+00;A2;476427.6816;9699522.964;6.392
STA 8+00;A3;476427.5598;9699522.124;6.395
STA 8+00;A4;476427.4709;9699521.293;6.367
STA 8+00;T1;476427.7689;9699520.611;6.202
STA 8+00;D1;476428.107;9699519.997;5.142
STA 8+00;D2;476428.6167;9699518.741;4.984
STA 8+00;D3;476429.1259;9699517.544;5.165
STA 8+00;T2;476429.464;9699516.929;6.001
STA 8+00;B1;476429.6283;9699516.064;6.122
STA 8+00;B2;476429.5756;9699515.353;6.078
STA 8+00;B3;476429.7704;9699514.421;6.034
STA 8+00;B4;476429.6707;9699513.42;6.036
STA 8+00;B;476429.5016;9699512.491;6.027
