sta;x;z
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;5.8205
STA 6+50;4.91119218;3.9205
STA 6+50;7.11119218;3.9205
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;5.8205
STA 6+50;3.96119218;-1.1795
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;5.8205
STA 6+50;3.96119218;-1.1795
STA 6+50;1.41119218;10.9205
STA 6+50;4.91119218;3.9205
STA 6+50;7.11119218;3.9205
STA 6+50;10.61119218;10.9205
STA 6+50;8.06119218;-1.1795
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;5.8205
STA 6+50;8.06119218;-1.1795
