sta;x;z
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;6.0785
STA 0+50;4.910462788999999;4.1785
STA 0+50;7.110462789;4.1785
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;6.0785
STA 0+50;3.9604627889999997;-0.9215
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;6.0785
STA 0+50;3.9604627889999997;-0.9215
STA 0+50;1.4104627889999999;11.1785
STA 0+50;4.910462788999999;4.1785
STA 0+50;7.110462789;4.1785
STA 0+50;10.610462789;11.1785
STA 0+50;8.060462789;-0.9215
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;6.0785
STA 0+50;8.060462789;-0.9215
