sta;x;z
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;4.910716291999999;3.8989999999999996
STA 7+00;7.110716291999999;3.8989999999999996
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;3.9607162919999994;-1.2010000000000005
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;5.7989999999999995
STA 7+00;3.9607162919999994;-1.2010000000000005
STA 7+00;1.4107162919999996;10.899
STA 7+00;4.910716291999999;3.8989999999999996
STA 7+00;7.110716291999999;3.8989999999999996
STA 7+00;10.610716292;10.899
STA 7+00;8.060716292;-1.2010000000000005
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;5.7989999999999995
STA 7+00;8.060716292;-1.2010000000000005
