sta;x;z
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;5.713
STA 9+00;4.911204657;3.813
STA 9+00;7.111204657;3.813
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;5.713
STA 9+00;3.961204657;-1.287
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;5.713
STA 9+00;3.961204657;-1.287
STA 9+00;1.4112046570000003;10.812999999999999
STA 9+00;4.911204657;3.813
STA 9+00;7.111204657;3.813
STA 9+00;10.611204657;10.812999999999999
STA 9+00;8.061204657000001;-1.287
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;5.713
STA 9+00;8.061204657000001;-1.287
