sta;x;z
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;5.9925
STA 2+50;4.910232988;4.092499999999999
STA 2+50;7.110232988;4.092499999999999
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;5.9925
STA 2+50;3.960232988;-1.0075000000000003
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;5.9925
STA 2+50;3.960232988;-1.0075000000000003
STA 2+50;1.4102329880000002;11.0925
STA 2+50;4.910232988;4.092499999999999
STA 2+50;7.110232988;4.092499999999999
STA 2+50;10.610232988;11.0925
STA 2+50;8.060232988000001;-1.0075000000000003
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;5.9925
STA 2+50;8.060232988000001;-1.0075000000000003
