sta;x;z
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;5.971
STA 3+00;4.910718698999999;4.071
STA 3+00;7.1107186989999995;4.071
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;5.971
STA 3+00;3.9607186989999996;-1.029
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;5.971
STA 3+00;3.9607186989999996;-1.029
STA 3+00;1.4107186989999998;11.071
STA 3+00;4.910718698999999;4.071
STA 3+00;7.1107186989999995;4.071
STA 3+00;10.610718699;11.071
STA 3+00;8.060718699;-1.029
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;5.971
STA 3+00;8.060718699;-1.029
