sta;x;z
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;4.910730462999999;4.1355
STA 1+50;7.1107304629999994;4.1355
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;6.035500000000001
STA 1+50;3.9607304629999995;-0.9644999999999992
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;6.035500000000001
STA 1+50;3.9607304629999995;-0.9644999999999992
STA 1+50;1.4107304629999997;11.1355
STA 1+50;4.910730462999999;4.1355
STA 1+50;7.1107304629999994;4.1355
STA 1+50;10.610730463;11.1355
STA 1+50;8.060730463;-0.9644999999999992
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;6.035500000000001
STA 1+50;8.060730463;-0.9644999999999992
