sta;code;z;delta x;x;rerata_x;rerata_z;x_tki;z_tki;x_tka;z_tka
STA 9+43;A;6.034;0.0;0.0;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;A1;6.057;0.6849030215781589;0.6849030215781589;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;A2;6.365;1.0319166932522008;1.7168197148303597;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;A3;6.373;0.7825700281113808;2.4993897429417404;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;A4;6.369;0.7821351341879219;3.2815248771296623;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;T1;6.234;0.7349696551944129;4.016494532324075;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;D1;5.119;0.6791767305015597;4.695671262825635;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;D2;4.989;1.3436700735581173;6.039341336383752;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;D3;5.139;1.2864559034113343;7.325797239795087;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;T2;5.985;0.6801447618408734;8.00594200163596;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;B1;6.134;0.878583405254588;8.884525406890548;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;B2;6.089;0.6750263505072649;9.559551757397813;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;B3;6.022;0.9510667227982772;10.51061848019609;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;B4;6.028;0.9430485236752464;11.453667003871336;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
STA 9+43;B;6.009;0.8578285804579675;12.311495584329304;6.011218266980018;5.082333333333334;4.016494532324075;6.234;8.00594200163596;5.985
