sta;code;z;delta x;x;rerata_x;rerata_z;x_tki;z_tki;x_tka;z_tka
STA 3+00;A;6.13;0.0;0.0;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;A1;6.165;0.6848759539585685;0.6848759539585685;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;A2;6.484;1.030948518228771;1.7158244721873397;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;A3;6.47;0.7825931406530744;2.498417612840414;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;A4;6.359;0.7831013980858645;3.2815190109262784;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;T1;6.096;0.7349452762113704;4.016464287137649;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;D1;5.217;0.6782097397197306;4.6946740268573794;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;D2;4.967;1.3446391723241566;6.039313199181536;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;D3;5.252;1.28645705876169;7.325770257943226;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;T2;6.056;0.6792028531255312;8.004973111068757;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;B1;6.081;0.8785579749356511;8.883531086004409;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;B2;6.042;0.6759930044455498;9.559524090449958;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;B3;6.072;0.9501235054737016;10.50964759592366;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;B4;6.061;0.9439893877009062;11.453636983624566;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
STA 3+00;B;6.087;0.8568581696637452;12.310495153288311;6.010718699103203;5.145333333333333;4.016464287137649;6.096;8.004973111068757;6.056
