sta;code;z;delta x;x;rerata_x;rerata_z;x_tki;z_tki;x_tka;z_tka
STA 5+50;A;6.093;0.0;0.0;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;A1;6.123;0.6848989618413277;0.6848989618413277;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;A2;6.438;1.0309483678704396;1.7158473297117671;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;A3;6.433;0.7825659949976442;2.498413324709412;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;A4;6.363;0.7830995490182531;3.2815128737276646;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;T1;6.149;0.7349710968751699;4.016483970602835;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;D1;5.179;0.6782108282983241;4.694694798901159;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;D2;4.975;1.34367226072537;6.038367059626529;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;D3;5.209;1.2874262956572895;7.325793355283818;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;T2;6.029;0.6791788565745671;8.004972211858385;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;B1;6.101;0.8785826956985296;8.883554907556915;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;B2;6.06;0.6750235351706717;9.558578442727589;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;B3;6.053;0.9510661681257684;10.509644610853355;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;B4;6.048;0.9440122912763051;11.45365690212966;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
STA 5+50;B;6.057;0.8568556803057508;12.310512582435411;6.01072809123061;5.121;4.016483970602835;6.149;8.004972211858385;6.029
