sta;code;z;delta x;x;rerata_x;rerata_z;x_tki;z_tki;x_tka;z_tka
STA 2+00;A;6.145;0.0;0.0;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;A1;6.181;0.6849005029114001;0.6849005029114001;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;A2;6.502;1.0319165089358409;1.716817011847241;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;A3;6.485;0.781624580254958;2.498441592102199;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;A4;6.358;0.7831009218483027;3.2815425139505017;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;T1;6.075;0.7349454659056462;4.016487979856148;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;D1;5.232;0.6791780495297495;4.695666029385897;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;D2;4.964;1.3436714305102884;6.039337459896186;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;D3;5.269;1.2864573700696456;7.325794829965831;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;T2;6.067;0.6801460789596785;8.00594090892551;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;B1;6.072;0.8776149356229368;8.883555844548447;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;B2;6.035;0.6759926333072812;9.559548477855728;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;B3;6.08;0.950123432990889;10.509671910846617;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;B4;6.067;0.9439888260620092;11.453660736908626;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
STA 2+00;B;6.099;0.8568575285005267;12.310518265409153;6.011214444390829;5.155;4.016487979856148;6.075;8.00594090892551;6.067
